month,brand,forecast_revenue,lower_bound,upper_bound
2026-04-01,DermaCo Labs,26507.05,23402.39,29611.71
2026-05-01,DermaCo Labs,26947.61,23842.95,30052.27
2026-06-01,DermaCo Labs,27388.18,24283.52,30492.84
2026-07-01,DermaCo Labs,27828.74,24724.08,30933.4
2026-08-01,DermaCo Labs,28269.31,25164.65,31373.96
2026-09-01,DermaCo Labs,28709.87,25605.21,31814.53
2026-04-01,Northstar Apparel,37445.91,32723.72,42168.11
2026-05-01,Northstar Apparel,38054.67,33332.47,42776.86
2026-06-01,Northstar Apparel,38663.42,33941.22,43385.62
2026-07-01,Northstar Apparel,39272.17,34549.97,43994.37
2026-08-01,Northstar Apparel,39880.92,35158.73,44603.12
2026-09-01,Northstar Apparel,40489.68,35767.48,45211.87
2026-04-01,VitalEdge Wellness,40878.99,35888.63,45869.35
2026-05-01,VitalEdge Wellness,41167.18,36176.82,46157.54
2026-06-01,VitalEdge Wellness,41455.38,36465.02,46445.74
2026-07-01,VitalEdge Wellness,41743.57,36753.21,46733.93
2026-08-01,VitalEdge Wellness,42031.77,37041.41,47022.13
2026-09-01,VitalEdge Wellness,42319.96,37329.6,47310.32
2026-04-01,Voltix Home,76908.78,63116.32,90701.23
2026-05-01,Voltix Home,77991.99,64199.54,91784.45
2026-06-01,Voltix Home,79075.21,65282.75,92867.66
2026-07-01,Voltix Home,80158.42,66365.96,93950.88
2026-08-01,Voltix Home,81241.63,67449.18,95034.09
2026-09-01,Voltix Home,82324.85,68532.39,96117.3
