rank,segment_name,brand,acquisition_channel,plan,customers,action_customers,action_rate,monthly_revenue,avg_risk_score,expected_value,value_per_customer,dominant_issue,dominant_issue_value,owner,recommended_playbook,priority_score,suggested_action
1,Voltix Home / display / monthly,Voltix Home,display,monthly,78,11,0.141,9081.06,0.2617,2016.54,25.85,late_fulfillment,917.93,Operations,Late-shipment rescue workflow,85.0,Run Late-shipment rescue workflow for Voltix Home / display / monthly and track next renewal retained.
2,Voltix Home / affiliate / monthly,Voltix Home,affiliate,monthly,55,9,0.1636,6418.18,0.216,2086.48,37.94,support_escalation,865.21,Customer Success,Priority callback for high-value subscribers,84.0,Run Priority callback for high-value subscribers for Voltix Home / affiliate / monthly and track escalation retention rate.
3,Voltix Home / organic / monthly,Voltix Home,organic,monthly,72,8,0.1111,8408.82,0.2192,2226.69,30.93,late_fulfillment,788.71,Operations,Late-shipment rescue workflow,83.9,Run Late-shipment rescue workflow for Voltix Home / organic / monthly and track next renewal retained.
4,Voltix Home / display / annual,Voltix Home,display,annual,18,5,0.2778,3070.58,0.2204,1343.41,74.63,failed_payment,581.08,Billing Ops,Smart dunning and payment-link recovery,74.2,Run Smart dunning and payment-link recovery for Voltix Home / display / annual and track recovered invoice rate.
5,Voltix Home / paid_search / monthly,Voltix Home,paid_search,monthly,85,8,0.0941,10232.75,0.2341,1737.22,20.44,late_fulfillment,546.8,Operations,Late-shipment rescue workflow,72.0,Run Late-shipment rescue workflow for Voltix Home / paid_search / monthly and track next renewal retained.
6,Voltix Home / email / annual,Voltix Home,email,annual,19,4,0.2105,2804.12,0.1988,1256.44,66.13,late_fulfillment,631.34,Operations,Late-shipment rescue workflow,65.2,Run Late-shipment rescue workflow for Voltix Home / email / annual and track next renewal retained.
7,Voltix Home / paid_search / annual,Voltix Home,paid_search,annual,18,3,0.1667,2965.42,0.2352,607.98,33.78,support_escalation,223.85,Customer Success,Priority callback for high-value subscribers,49.5,Run Priority callback for high-value subscribers for Voltix Home / paid_search / annual and track escalation retention rate.
8,Voltix Home / paid_search / quarterly,Voltix Home,paid_search,quarterly,48,3,0.0625,6072.21,0.1993,921.54,19.2,support_escalation,399.66,Customer Success,Priority callback for high-value subscribers,46.3,Run Priority callback for high-value subscribers for Voltix Home / paid_search / quarterly and track escalation retention rate.
9,Voltix Home / email / monthly,Voltix Home,email,monthly,53,3,0.0566,6438.3,0.1987,874.03,16.49,support_escalation,319.3,Customer Success,Priority callback for high-value subscribers,44.6,Run Priority callback for high-value subscribers for Voltix Home / email / monthly and track escalation retention rate.
10,Voltix Home / organic / annual,Voltix Home,organic,annual,23,2,0.087,3485.08,0.2468,394.68,17.16,late_fulfillment,232.37,Operations,Late-shipment rescue workflow,39.6,Run Late-shipment rescue workflow for Voltix Home / organic / annual and track next renewal retained.
11,Northstar Apparel / display / quarterly,Northstar Apparel,display,quarterly,41,3,0.0732,2423.24,0.232,462.99,11.29,late_fulfillment,301.97,Operations,Late-shipment rescue workflow,38.9,Run Late-shipment rescue workflow for Northstar Apparel / display / quarterly and track next renewal retained.
12,Voltix Home / display / quarterly,Voltix Home,display,quarterly,27,2,0.0741,3455.75,0.1852,577.1,21.37,support_escalation,192.55,Customer Success,Priority callback for high-value subscribers,37.3,Run Priority callback for high-value subscribers for Voltix Home / display / quarterly and track escalation retention rate.
